"","base_country_code","base_country_name","base_lat","base_long","base_country_wb_income","base_country_wb_region","target_country_code","target_country_name","target_lat","target_long","target_country_wb_income","target_country_wb_region","Year","Net_Migration"
"1","ae","United Arab Emirates",23.424076,53.847818,"High Income","Middle East & North Africa","af","Afghanistan",33.93911,67.709953,"Low Income","South Asia",2015,0.19
"2","ae","United Arab Emirates",23.424076,53.847818,"High Income","Middle East & North Africa","af","Afghanistan",33.93911,67.709953,"Low Income","South Asia",2016,0.16
"3","ae","United Arab Emirates",23.424076,53.847818,"High Income","Middle East & North Africa","af","Afghanistan",33.93911,67.709953,"Low Income","South Asia",2017,0.11
"4","ae","United Arab Emirates",23.424076,53.847818,"High Income","Middle East & North Africa","af","Afghanistan",33.93911,67.709953,"Low Income","South Asia",2018,-0.05
"5","ae","United Arab Emirates",23.424076,53.847818,"High Income","Middle East & North Africa","af","Afghanistan",33.93911,67.709953,"Low Income","South Asia",2019,-0.02
"6","ae","United Arab Emirates",23.424076,53.847818,"High Income","Middle East & North Africa","dz","Algeria",28.033886,1.659626,"Upper Middle Income","Middle East & North Africa",2015,0.19
"7","ae","United Arab Emirates",23.424076,53.847818,"High Income","Middle East & North Africa","dz","Algeria",28.033886,1.659626,"Upper Middle Income","Middle East & North Africa",2016,0.25
"8","ae","United Arab Emirates",23.424076,53.847818,"High Income","Middle East & North Africa","dz","Algeria",28.033886,1.659626,"Upper Middle Income","Middle East & North Africa",2017,0.57
"9","ae","United Arab Emirates",23.424076,53.847818,"High Income","Middle East & North Africa","dz","Algeria",28.033886,1.659626,"Upper Middle Income","Middle East & North Africa",2018,0.55
"10","ae","United Arab Emirates",23.424076,53.847818,"High Income","Middle East & North Africa","dz","Algeria",28.033886,1.659626,"Upper Middle Income","Middle East & North Africa",2019,0.78
"11","ae","United Arab Emirates",23.424076,53.847818,"High Income","Middle East & North Africa","ao","Angola",-11.202692,17.873887,"Lower Middle Income","Sub-Saharan Africa",2015,-0.01
