"","country_code","country_name","wb_income","wb_region","isic_section_index","isic_section_name","industry_id","industry_name","Year","Net_Migration"
"1","ae","United Arab Emirates","High income","Middle East & North Africa","C","Manufacturing",1,"Defense & Space",2015,378.74
"2","ae","United Arab Emirates","High income","Middle East & North Africa","C","Manufacturing",1,"Defense & Space",2016,127.94
"3","ae","United Arab Emirates","High income","Middle East & North Africa","C","Manufacturing",1,"Defense & Space",2017,8.2
"4","ae","United Arab Emirates","High income","Middle East & North Africa","C","Manufacturing",1,"Defense & Space",2018,68.51
"5","ae","United Arab Emirates","High income","Middle East & North Africa","C","Manufacturing",1,"Defense & Space",2019,49.55
"6","ae","United Arab Emirates","High income","Middle East & North Africa","J","Information and communication",3,"Computer Hardware",2015,100.97
"7","ae","United Arab Emirates","High income","Middle East & North Africa","J","Information and communication",3,"Computer Hardware",2016,358.14
"8","ae","United Arab Emirates","High income","Middle East & North Africa","J","Information and communication",3,"Computer Hardware",2017,112.98
"9","ae","United Arab Emirates","High income","Middle East & North Africa","J","Information and communication",3,"Computer Hardware",2018,149.57
"10","ae","United Arab Emirates","High income","Middle East & North Africa","J","Information and communication",3,"Computer Hardware",2019,182.22
"11","ae","United Arab Emirates","High income","Middle East & North Africa","J","Information and communication",4,"Computer Software",2015,1079.36
"12","ae","United Arab Emirates","High income","Middle East & North Africa","J","Information and communication",4,"Computer Software",2016,848.15
"13","ae","United Arab Emirates","High income","Middle East & North Africa","J","Information and communication",4,"Computer Software",2017,596.48
"14","ae","United Arab Emirates","High income","Middle East & North Africa","J","Information and communication",4,"Computer Software",2018,409.18
"15","ae","United Arab Emirates","High income","Middle East & North Africa","J","Information and communication",4,"Computer Software",2019,407.41
"16","ae","United Arab Emirates","High income","Middle East & North Africa","J","Information and communication",5,"Computer Networking",2015,401.46
"17","ae","United Arab Emirates","High income","Middle East & North Africa","J","Information and communication",5,"Computer Networking",2016,447.39
"18","ae","United Arab Emirates","High income","Middle East & North Africa","J","Information and communication",5,"Computer Networking",2017,163.99
"19","ae","United Arab Emirates","High income","Middle East & North Africa","J","Information and communication",5,"Computer Networking",2018,236.69
"20","ae","United Arab Emirates","High income","Middle East & North Africa","J","Information and communication",5,"Computer Networking",2019,188.07
"21","ae","United Arab Emirates","High income","Middle East & North Africa","J","Information and communication",6,"Internet",2015,1840.33
"22","ae","United Arab Emirates","High income","Middle East & North Africa","J","Information and communication",6,"Internet",2016,1368.42
"23","ae","United Arab Emirates","High income","Middle East & North Africa","J","Information and communication",6,"Internet",2017,877.71
